,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
97987,Kerala,ALAPPUZHA,1997,Whole Year,Arecanut,2253.0,1518.0
97988,Kerala,ALAPPUZHA,1997,Whole Year,Black pepper,2235.0,248.0
97989,Kerala,ALAPPUZHA,1997,Whole Year,Cashewnut,7205.0,2358.0
97990,Kerala,ALAPPUZHA,1997,Whole Year,Coconut,77893.0,399000.0
97991,Kerala,ALAPPUZHA,1997,Whole Year,Tapioca,3911.0,74110.0
97992,Kerala,ALAPPUZHA,1998,Autumn,Rice,8719.0,17570.0
97993,Kerala,ALAPPUZHA,1998,Kharif,Sesamum,1150.0,140.0
97994,Kerala,ALAPPUZHA,1998,Summer,Rice,19058.0,58013.0
97995,Kerala,ALAPPUZHA,1998,Whole Year,Arecanut,2067.0,766.0
97996,Kerala,ALAPPUZHA,1998,Whole Year,Banana,324.0,4493.0
97997,Kerala,ALAPPUZHA,1998,Whole Year,Black pepper,2028.0,256.0
97998,Kerala,ALAPPUZHA,1998,Whole Year,Cashewnut,4860.0,792.0
97999,Kerala,ALAPPUZHA,1998,Whole Year,Coconut,58621.0,288000000.0
98000,Kerala,ALAPPUZHA,1998,Whole Year,Dry ginger,119.0,224.0
98001,Kerala,ALAPPUZHA,1998,Whole Year,Sugarcane,192.0,4190.0
98002,Kerala,ALAPPUZHA,1998,Whole Year,Sweet potato,7.0,81.0
98003,Kerala,ALAPPUZHA,1998,Whole Year,Tapioca,4929.0,86808.0
98004,Kerala,ALAPPUZHA,1998,Whole Year,Turmeric,12.0,14.0
98005,Kerala,ALAPPUZHA,1998,Winter,Rice,7348.0,16098.0
98006,Kerala,ALAPPUZHA,1999,Autumn,Rice,8233.0,24776.0
98007,Kerala,ALAPPUZHA,1999,Kharif,Sesamum,902.0,126.0
98008,Kerala,ALAPPUZHA,1999,Summer,Rice,16404.0,39718.0
98009,Kerala,ALAPPUZHA,1999,Whole Year,Arecanut,2308.0,1043.0
98010,Kerala,ALAPPUZHA,1999,Whole Year,Banana,536.0,5418.0
98011,Kerala,ALAPPUZHA,1999,Whole Year,Black pepper,1943.0,242.0
98012,Kerala,ALAPPUZHA,1999,Whole Year,Cashewnut,4909.0,1326.0
98013,Kerala,ALAPPUZHA,1999,Whole Year,Coconut,61270.0,333000000.0
98014,Kerala,ALAPPUZHA,1999,Whole Year,Dry ginger,125.0,333.0
98015,Kerala,ALAPPUZHA,1999,Whole Year,Sugarcane,92.0,2890.0
98016,Kerala,ALAPPUZHA,1999,Whole Year,Sweet potato,2.0,23.0
98017,Kerala,ALAPPUZHA,1999,Whole Year,Tapioca,4524.0,90552.0
